|time| inM  |  instruction   |reset| outM  |writeM |addre| pc  |DRegiste|
|0+  |     0|0011000000111001|  0  |      0|   0   |    0|    0|      0 |
|1   |     0|0011000000111001|  0  |      0|   0   |12345|    1|      0 |
|1+  |     0|1110110000010000|  0  |  12345|   0   |12345|    1|  12345 |
|2   |     0|1110110000010000|  0  |  12345|   0   |12345|    2|  12345 |
|2+  |     0|0101101110100000|  0  |     -1|   0   |12345|    2|  12345 |
|3   |     0|0101101110100000|  0  |     -1|   0   |23456|    3|  12345 |
|3+  |     0|1110010011010000|  0  | -11111|   0   |23456|    3| -11111 |
|4   |     0|1110010011010000|  0  |  30969|   0   |23456|    4| -11111 |
|4+  |     0|0011000000111001|  0  |      0|   0   |23456|    4| -11111 |
|5   |     0|0011000000111001|  0  |      0|   0   |12345|    5| -11111 |
|5+  |     0|1110110000010000|  0  |  12345|   0   |12345|    5|  12345 |
|6   |     0|1110110000010000|  0  |  12345|   0   |12345|    6|  12345 |
|6+  |     0|0101101110100000|  0  |     -1|   0   |12345|    6|  12345 |
|7   |     0|0101101110100000|  0  |     -1|   0   |23456|    7|  12345 |
|7+  |     0|1110000010010000|  0  | -29735|   0   |23456|    7| -29735 |
|8   |     0|1110000010010000|  0  |  -6279|   0   |23456| 2048| -29735 |
|8+  |     0|0000000000000000|  0  |   2944|   0   |23456| 2048| -29735 |
|9   |     0|0000000000000000|  0  |      0|   0   |    0| 2049| -29735 |
|9+  |     0|1110001100000111|  0  | -29735|   0   |    0| 2049| -29735 |
|10  |     0|1110001100000111|  0  | -29735|   0   |    0|    0| -29735 |
|10+ |     0|0011000000111001|  0  |      0|   0   |    0|    0| -29735 |
|11  |     0|0011000000111001|  0  |      0|   0   |12345|    1| -29735 |
|11+ |     0|1110110011010000|  0  | -12345|   0   |12345|    1| -12345 |
|12  |     0|1110110011010000|  0  | -12345|   0   |12345|    2| -12345 |
|12+ |     0|0101101110100000|  0  |     -1|   0   |12345|    2| -12345 |
|13  |     0|0101101110100000|  0  |     -1|   0   |23456|    3| -12345 |
|13+ |     0|1110010011010000|  0  |  29735|   0   |23456|    3|  29735 |
|14  |     0|1110010011010000|  0  |   6279|   0   |23456| 2048|  29735 |
|14+ |     0|0011000000111001|  0  |      0|   0   |23456| 2048|  29735 |
|15  |     0|0011000000111001|  0  |      0|   0   |12345| 2049|  29735 |
|15+ |     0|1110110000010000|  0  |  12345|   0   |12345| 2049|  12345 |
|16  |     0|1110110000010000|  0  |  12345|   0   |12345| 2050|  12345 |
|16+ |     0|0101101110100000|  0  |     -1|   0   |12345| 2050|  12345 |
|17  |     0|0101101110100000|  0  |     -1|   0   |23456| 2051|  12345 |
|17+ |     0|1110000111010000|  0  |  11111|   0   |23456| 2051|  11111 |
|18  |     0|1110000111010000|  0  |  12345|   0   |23456| 2052|  11111 |
|18+ |     0|0000000000010101|  0  |   2848|   0   |23456| 2052|  11111 |
|19  |     0|0000000000010101|  0  |      5|   0   |   21| 2048|  11111 |
